GSSCode,Name,WIMDRank,
W01000829,Penclawdd 2,1083,
W01000830,Penderry 1,21,
W01000831,Penderry 2,246,
W01000832,Penderry 3,34,
W01000833,Penderry 4,45,
W01000834,Penderry 5,218,
W01000835,Penderry 6,142,
W01000836,Penderry 7,150,
W01000837,Penllergaer 1,1786,
W01000838,Penllergaer 2,369,
W01000839,Pennard 1,1647,
W01000840,Pennard 2,1804,
W01000841,Penyrheol (Swansea) 1,733,
W01000842,Penyrheol (Swansea) 2,1028,
W01000843,Penyrheol (Swansea) 3,1361,
W01000844,Penyrheol (Swansea) 4,264,
W01000845,Pontardulais 1,1636,
W01000846,Pontardulais 2,740,
W01000847,Pontardulais 3,872,
W01000848,Pontardulais 4,455,
W01000849,St. Thomas 1,176,
W01000850,St. Thomas 2,429,
W01000851,St. Thomas 3,822,
W01000852,St. Thomas 4,718,
W01000853,Sketty 1,1831,
W01000854,Sketty 2,1657,
W01000855,Sketty 3,1772,
W01000856,Sketty 4,295,
W01000857,Sketty 5,1059,
W01000858,Sketty 6,1798,
W01000859,Sketty 7,1674,
W01000860,Sketty 8,1854,
W01000861,Sketty 9,1656,
W01000862,Townhill 1,29,
W01000863,Townhill 2,41,
W01000864,Townhill 3,49,
W01000865,Townhill 4,516,
W01000866,Townhill 5,64,
W01000867,Townhill 6,50,
W01000868,Uplands 1,1877,
W01000869,Uplands 2,875,
W01000870,Uplands 3,1746,
W01000871,Uplands 4,908,
W01000872,Uplands 5,1862,
W01000873,Uplands 6,1245,
W01000874,Uplands 7,1699,
W01000875,Uplands 8,1168,
W01000876,Uplands 9,1514,
W01000877,Upper Loughor 1,1442,
W01000878,Upper Loughor 2,1199,
W01000879,West Cross 1,1898,
W01000880,West Cross 2,1824,
W01000881,West Cross 3,471,
W01000882,West Cross 4,730,
W01000883,Aberavon 1,1519,
W01000884,Aberavon 2,166,
W01000885,Aberavon 3,145,
W01000886,Aberavon 4,79,
W01000887,Aberdulais,858,
W01000888,Allt-wen,1148,
W01000889,Baglan 1,1123,
W01000890,Baglan 2,1773,
W01000891,Baglan 3,704,
W01000892,Baglan 4,1452,
W01000893,Blaengwrach,618,
W01000894,Briton Ferry East 1,864,
W01000895,Briton Ferry East 2,323,
W01000896,Briton Ferry West 1,123,
W01000897,Briton Ferry West 2,518,
W01000898,Bryn and Cwmavon 1,901,
W01000899,Bryn and Cwmavon 2,1597,
W01000900,Bryn and Cwmavon 3,310,
W01000901,Bryn and Cwmavon 4,663,
W01000902,Bryn-coch North 1,1443,
W01000903,Bryn-coch North 2,1760,
W01000904,Bryn-coch South 1,1876,
W01000905,Bryn-coch South 2,1381,
W01000906,Bryn-coch South 3,1624,
W01000907,Bryn-coch South 4,504,
W01000908,Cadoxton,1684,
W01000909,Cimla 1,781,
W01000910,Cimla 2,1547,
W01000911,Cimla 3,1622,
W01000912,Coedffranc Central 1,659,
W01000913,Coedffranc Central 2,830,
W01000914,Coedffranc Central 3,216,
W01000915,Coedffranc North 1,1097,
W01000916,Coedffranc North 2,1110,
W01000917,Coedffranc West,1344,
W01000918,Crynant,1027,
W01000919,Cwmllynfell,993,
W01000920,Cymmer (Neath Port Talbot) 1,372,
W01000921,Cymmer (Neath Port Talbot) 2,22,
W01000922,Dyffryn 1,625,
W01000923,Dyffryn 2,1396,
W01000924,Glyncorrwg,284,
W01000925,Glynneath 1,387,
W01000926,Glynneath 2,1011,
W01000927,Godre'r graig,745,
W01000928,Gwaun-Cae-Gurwen 1,525,
W01000929,Gwaun-Cae-Gurwen 2,355,
W01000930,Gwynfi,177,
W01000931,Lower Brynamman,627,
W01000932,Margam 1,576,
W01000933,Margam 2,1433,
W01000934,Neath East 1,122,
W01000935,Neath East 2,148,
W01000936,Neath East 3,328,
W01000937,Neath East 4,340,
W01000938,Neath North 1,1456,
W01000939,Neath North 2,112,
W01000940,Neath North 3,334,
W01000941,Neath South 1,437,
W01000942,Neath South 2,249,
W01000943,Neath South 3,1667,
W01000944,Onllwyn,598,
W01000945,Pelenna,563,
W01000946,Pontardawe 1,877,
W01000947,Pontardawe 2,747,
W01000948,Pontardawe 3,741,
W01000949,Port Talbot 1,1032,
W01000950,Port Talbot 2,674,
W01000951,Port Talbot 3,315,
W01000952,Port Talbot 4,680,
W01000953,Resolven 1,634,
W01000954,Resolven 2,975,
W01000955,Rhos 1,1342,
W01000956,Rhos 2,1687,
W01000957,Sandfields East 1,278,
W01000958,Sandfields East 2,98,
W01000959,Sandfields East 3,977,
W01000960,Sandfields East 4,354,
W01000961,Sandfields West 1,397,
W01000962,Sandfields West 2,72,
W01000963,Sandfields West 3,133,
W01000964,Sandfields West 4,212,
W01000965,Seven Sisters,519,
W01000966,Tai-bach 1,584,
W01000967,Tai-bach 2,361,
W01000968,Tai-bach 3,582,
W01000969,Tonna 1,1614,
W01000970,Tonna 2,590,
W01000971,Trebanos,907,
W01000973,Ystalyfera 2,446,
W01000974,Aberkenfig,1013,
W01000975,Bettws (Bridgend),90,
W01000976,Blackmill 1,298,
W01000977,Blackmill 2,171,
W01000978,Blaengarw,604,
W01000979,Brackla 1,1076,
W01000980,Brackla 2,656,
W01000981,Brackla 3,117,
W01000982,Brackla 4,1289,
W01000983,Brackla 5,1559,
W01000984,Brackla 6,1259,
W01000985,Brackla 7,1819,
W01000986,Bryncethin,1047,
W01000987,Bryncoch,407,
W01000989,Bryntirion Laleston and Merthyr Mawr 2,1589,
W01000990,Bryntirion Laleston and Merthyr Mawr 3,352,
W01000991,Caerau (Bridgend) 1,6,
W01000992,Caerau (Bridgend) 2,44,
W01000993,Caerau (Bridgend) 3,179,
W01000994,Caerau (Bridgend) 4,293,
W01000995,Caerau (Bridgend) 5,812,
W01000996,Cefn Cribwr,748,
W01000997,Cefn Glas,1264,
W01000998,Coity,1581,
W01000999,Cornelly 1,433,
W01001000,Cornelly 2,1009,
W01001001,Cornelly 3,687,
W01001002,Cornelly 4,189,
W01001003,Coychurch Lower,1322,
W01001004,Felindre 1,466,
W01001005,Felindre 2,1214,
W01001006,Hendre (Bridgend) 1,1719,
W01001007,Hendre (Bridgend) 2,824,
W01001008,Litchard,1714,
W01001009,Llangeinor,496,
W01001010,Llangewydd and Brynhyfryd 1,533,
W01001011,Llangewydd and Brynhyfryd 2,1434,
W01001012,Llangynwyd 1,1405,
W01001013,Llangynwyd 2,670,
W01001014,Maesteg East 1,409,
W01001015,Maesteg East 2,303,
W01001016,Maesteg East 3,828,
W01001017,Maesteg West 1,1158,
W01001018,Maesteg West 2,416,
W01001019,Maesteg West 3,254,
W01001020,Maesteg West 4,319,
W01001021,Morfa 1,401,
W01001022,Morfa 2,136,
W01001023,Morfa 3,342,
W01001024,Nant-y-moel 1,347,
W01001025,Nant-y-moel 2,542,
W01001026,Newcastle 1,440,
W01001027,Newcastle 2,1371,
W01001028,Newcastle 3,1221,
W01001029,Newton (Bridgend) 1,1536,
W01001030,Newton (Bridgend) 2,1408,
W01001031,Nottage 1,1710,
W01001032,Nottage 2,1659,
W01001033,Ogmore Vale 1,833,
W01001034,Ogmore Vale 2,485,
W01001035,Oldcastle 1,287,
W01001036,Oldcastle 2,1783,
W01001037,Oldcastle 3,1646,
W01001038,Pendre,839,
W01001039,Penprysg 1,1077,
W01001040,Penprysg 2,1306,
W01001041,Pen-y-fai,1658,
W01001042,Pontycymmer 1,551,
W01001043,Pontycymmer 2,425,
W01001044,Porthcawl East Central 1,484,
W01001045,Porthcawl East Central 2,567,
W01001046,Porthcawl West Central 1,580,
W01001047,Porthcawl West Central 2,1504,
W01001048,Pyle 1,1297,
W01001049,Pyle 2,248,
W01001050,Pyle 3,574,
W01001051,Pyle 4,565,
W01001052,Pyle 5,465,
W01001053,Rest Bay 1,1713,
W01001054,Rest Bay 2,1706,
W01001055,Sarn 1,141,
W01001056,Sarn 2,844,
W01001057,Ynysawdre 1,225,
W01001058,Ynysawdre 2,1062,
W01001059,Baruc 1,1551,
W01001060,Baruc 2,1763,
W01001061,Baruc 3,653,
W01001062,Baruc 4,1206,
W01001063,Buttrills 1,764,
W01001064,Buttrills 2,198,
W01001065,Buttrills 3,760,
W01001066,Buttrills 4,546,
W01001067,Cadoc 1,236,
W01001068,Cadoc 2,782,
W01001069,Cadoc 3,321,
W01001070,Cadoc 4,178,
W01001071,Cadoc 5,575,
W01001072,Cadoc 6,1697,
W01001073,Castleland 1,181,
W01001075,Cornerswell 1,1771,
W01001076,Cornerswell 2,1050,
W01001077,Cornerswell 3,1278,
W01001078,Cornerswell 4,1724,
W01001079,Court 1,359,
W01001080,Court 2,454,
W01001081,Court 3,169,
W01001082,Cowbridge 1,1649,
W01001083,Cowbridge 2,1770,
W01001084,Cowbridge 3,1727,
W01001085,Cowbridge 4,1704,
W01001086,Dinas Powys 1,1881,
W01001087,Dinas Powys 2,1792,
W01001088,Dinas Powys 3,887,
W01001089,Dinas Powys 4,1691,
W01001090,Dinas Powys 5,1799,
W01001091,Dyfan 1,1811,
W01001092,Dyfan 2,727,
W01001093,Dyfan 3,497,
W01001094,Gibbonsdown 1,312,
W01001095,Gibbonsdown 2,83,
W01001096,Gibbonsdown 3,823,
W01001097,Gibbonsdown 4,235,
W01001098,Illtyd 1,1818,
W01001099,Illtyd 2,809,
W01001100,Illtyd 3,1866,
W01001101,Illtyd 4,880,
W01001102,Illtyd 5,929,
W01001103,Illtyd 6,1872,
W01001104,Llandough,1553,
W01001105,Llandow/Ewenny,1630,
W01001106,Llantwit Major 1,1846,
W01001107,Llantwit Major 2,1599,
W01001108,Llantwit Major 3,1298,
W01001109,Llantwit Major 4,1315,
W01001110,Llantwit Major 5,1676,
W01001111,Llantwit Major 6,737,
W01001112,Llantwit Major 7,1815,
W01001113,Peterston-super-Ely,1672,
W01001114,Plymouth (The Vale of Glamorgan) 1,1856,
W01001115,Plymouth (The Vale of Glamorgan) 2,1635,
W01001116,Plymouth (The Vale of Glamorgan) 3,1803,
W01001117,Rhoose 1,1385,
W01001118,Rhoose 2,1313,
W01001119,Rhoose 3,1650,
W01001120,Rhoose 4,1736,
W01001121,St. Athan 1,676,
W01001122,St. Athan 2,1403,
W01001123,St. Augustine's 1,1669,
W01001124,St. Augustine's 2,1507,
W01001125,St. Augustine's 3,1477,
W01001126,St. Augustine's 4,1544,
W01001127,St. Bride's Major 1,1623,
W01001128,St. Bride's Major 2,1595,
W01001129,Stanwell 1,982,
W01001130,Stanwell 2,1867,
W01001131,Stanwell 3,777,
W01001132,Sully 1,1655,
W01001133,Sully 2,1660,
W01001134,Sully 3,1645,
W01001135,Wenvoe 1,1664,
W01001136,Wenvoe 2,1689,
W01001137,Aberaman North 1,472,
W01001138,Aberaman North 2,322,
W01001139,Aberaman North 3,683,
W01001140,Aberaman South 1,398,
W01001141,Aberaman South 2,253,
W01001142,Aberaman South 3,208,
W01001143,Abercynon 1,900,
W01001144,Abercynon 2,37,
W01001145,Abercynon 3,463,
W01001146,Abercynon 4,1178,
W01001147,Aberdare East 1,1025,
W01001148,Aberdare East 2,686,
W01001149,Aberdare East 3,717,
W01001150,Aberdare East 4,272,
W01001151,Aberdare West/Llwydcoed 1,1310,
W01001152,Aberdare West/Llwydcoed 2,706,
W01001153,Aberdare West/Llwydcoed 3,520,
W01001154,Aberdare West/Llwydcoed 4,430,
W01001155,Aberdare West/Llwydcoed 5,757,
W01001156,Aberdare West/Llwydcoed 6,1791,
W01001157,Beddau 1,1291,
W01001158,Beddau 2,648,
W01001159,Beddau 3,1695,
W01001160,Brynna 1,1586,
W01001161,Brynna 2,936,
W01001162,Church Village 1,338,
W01001164,Cilfynydd 1,789,
W01001165,Cilfynydd 2,775,
W01001166,Cwm Clydach 1,184,
W01001167,Cwm Clydach 2,459,
W01001168,Cwmbach 1,667,
W01001169,Cwmbach 2,81,
W01001170,Cwmbach 3,1612,
W01001171,Cymmer (Rhondda Cynon Taf) 1,571,
W01001172,Cymmer (Rhondda Cynon Taf) 2,792,
W01001173,Cymmer (Rhondda Cynon Taf) 3,94,
W01001174,Cymmer (Rhondda Cynon Taf) 4,71,
W01001175,Ferndale 1,697,
W01001176,Ferndale 2,540,
W01001177,Ferndale 3,393,
W01001178,Gilfach Goch 1,586,
W01001179,Gilfach Goch 2,75,
W01001180,Glyncoch 1,28,
W01001181,Glyncoch 2,460,
W01001182,Graig (Rhondda Cynon Taf) 1,612,
W01001183,Graig (Rhondda Cynon Taf) 2,385,
W01001184,Hawthorn 1,981,
W01001185,Hawthorn 2,396,
W01001186,Hirwaun 1,889,
W01001187,Hirwaun 2,776,
W01001188,Hirwaun 3,180,
W01001189,Llanharan 1,611,
W01001190,Llanharan 2,1473,
W01001191,Llanharry 1,1532,
W01001192,Llanharry 2,210,
W01001193,Llantrisant Town 1,1768,
W01001194,Llantrisant Town 2,1821,
W01001195,Llantrisant Town 3,990,
W01001196,Llantwit Fardre 1,1641,
W01001197,Llantwit Fardre 2,1789,
W01001198,Llantwit Fardre 3,1600,
W01001199,Llantwit Fardre 4,1535,
W01001200,Llwyn-y-pia 1,431,
W01001201,Llwyn-y-pia 2,161,
W01001202,Maerdy 1,97,
W01001203,Maerdy 2,60,
W01001204,Mountain Ash East 1,1038,
W01001205,Mountain Ash East 2,559,
W01001206,Mountain Ash West 1,366,
W01001207,Mountain Ash West 2,96,
W01001208,Mountain Ash West 3,421,
W01001209,Penrhiwceiber 1,15,
W01001210,Penrhiwceiber 2,258,
W01001211,Penrhiwceiber 3,456,
W01001212,Penrhiwceiber 4,297,
W01001213,Pentre 1,804,
W01001214,Pentre 2,1424,
W01001215,Pentre 3,204,
W01001216,Pentre 4,523,
W01001217,Pen-y-graig 1,270,
W01001218,Pen-y-graig 2,638,
W01001219,Pen-y-graig 3,109,
W01001220,Pen-y-graig 4,620,
W01001221,Pen-y-waun 1,92,
W01001222,Pen-y-waun 2,9,
W01001223,Pont-y-clun 1,1750,
W01001224,Pont-y-clun 2,1844,
W01001225,Pont-y-clun 3,1785,
W01001226,Pont-y-clun 4,1024,
W01001227,Pontypridd Town 1,1605,
W01001228,Pontypridd Town 2,1202,
W01001229,Porth 1,794,
W01001230,Porth 2,1166,
W01001231,Porth 3,482,
W01001232,Porth 4,374,
W01001233,Rhigos,696,
W01001234,Rhondda 1,746,
W01001235,Rhondda 2,593,
W01001236,Rhondda 3,1063,
W01001237,Rhydfelen Central / Llan 1,250,
W01001238,Rhydfelen Central / Llan 2,17,
W01001239,Rhydfelen Central / Llan 3,185,
W01001240,Taffs Well 1,1117,
W01001241,Taffs Well 2,1046,
W01001242,Talbot Green 1,1469,
W01001243,Talbot Green 2,373,
W01001244,Ton-teg 1,1362,
W01001245,Ton-teg 2,1723,
W01001246,Ton-teg 3,1233,
W01001247,Tonypandy 1,512,
W01001248,Tonypandy 2,749,
W01001249,Tonyrefail East 1,436,
W01001250,Tonyrefail East 2,715,
W01001251,Tonyrefail East 3,66,
W01001252,Tonyrefail East 4,1386,
W01001253,Tonyrefail West 1,280,
W01001255,Tonyrefail West 3,192,
W01001256,Trallwng 1,768,
W01001257,Trallwng 2,1203,
W01001258,Trallwng 3,711,
W01001259,Trealaw 1,643,
W01001260,Trealaw 2,106,
W01001261,Trealaw 3,438,
W01001262,Treforest 1,690,
W01001263,Treforest 2,1099,
W01001264,Treforest 3,1305,
W01001265,Treherbert 1,499,
W01001266,Treherbert 2,164,
W01001267,Treherbert 3,153,
W01001268,Treherbert 4,414,
W01001269,Treorchy 1,952,
W01001270,Treorchy 2,600,
W01001271,Treorchy 3,367,
W01001272,Treorchy 4,608,
W01001273,Treorchy 5,860,
W01001274,Tylorstown 1,5,
W01001275,Tylorstown 2,214,
W01001276,Tylorstown 3,131,
W01001277,Tyn-y-nant 1,1608,
W01001278,Tyn-y-nant 2,548,
W01001279,Tyn-y-nant 3,137,
W01001280,Ynyshir 1,127,
W01001281,Ynyshir 2,691,
W01001282,Ynysybwl 1,252,
W01001283,Ynysybwl 2,750,
W01001284,Ynysybwl 3,1679,
W01001285,Ystrad 1,553,
W01001286,Ystrad 2,547,
W01001287,Ystrad 3,391,
W01001288,Ystrad 4,215,
W01001289,Bedlinog 1,424,
W01001290,Bedlinog 2,417,
W01001291,Cyfarthfa 1,851,
W01001292,Cyfarthfa 2,30,
W01001293,Cyfarthfa 3,477,
W01001294,Cyfarthfa 4,1611,
W01001295,Dowlais 1,160,
W01001296,Dowlais 2,867,
W01001297,Dowlais 3,581,
W01001298,Dowlais 4,305,
W01001299,Gurnos 1,32,
W01001300,Gurnos 2,61,
W01001301,Gurnos 3,121,
W01001302,Merthyr Vale 1,405,
W01001303,Merthyr Vale 2,8,
W01001304,Merthyr Vale 3,922,
W01001305,Park 1,973,
W01001306,Park 2,1401,
W01001307,Park 3,175,
W01001308,Penydarren 1,14,
W01001309,Penydarren 2,203,
W01001310,Penydarren 3,948,
W01001311,Penydarren 4,495,
W01001312,Plymouth (Merthyr Tydfil) 1,439,
W01001313,Plymouth (Merthyr Tydfil) 2,545,
W01001314,Plymouth (Merthyr Tydfil) 3,722,
W01001315,Town 1,335,
W01001316,Town 2,1283,
W01001317,Town 3,408,
W01001318,Town 4,1055,
W01001319,Treharris 1,1596,
W01001320,Treharris 2,779,
W01001321,Treharris 3,448,
W01001322,Treharris 4,452,
W01001324,Vaynor 2,1081,
W01001325,Aberbargoed 1,219,
W01001326,Aberbargoed 2,190,
W01001327,Abercarn 1,1114,
W01001328,Abercarn 2,815,
W01001329,Abercarn 3,692,
W01001330,Aber Valley 1,713,
W01001331,Aber Valley 2,521,
W01001332,Aber Valley 3,341,
W01001333,Aber Valley 4,371,
W01001334,Argoed (Caerphilly) 1,188,
W01001335,Argoed (Caerphilly) 2,558,
W01001336,Bargoed 1,527,
W01001337,Bargoed 2,681,
W01001338,Bargoed 3,562,
W01001339,Bargoed 4,23,
W01001340,Bedwas Trethomas and Machen 1,1728,
W01001341,Bedwas Trethomas and Machen 2,260,
W01001342,Bedwas Trethomas and Machen 3,1643,
W01001343,Bedwas Trethomas and Machen 4,1570,
W01001344,Bedwas Trethomas and Machen 5,997,
W01001345,Bedwas Trethomas and Machen 6,25,
W01001346,Bedwas Trethomas and Machen 7,868,
W01001347,Blackwood 1,940,
W01001348,Blackwood 2,324,
W01001349,Blackwood 3,1618,
W01001350,Blackwood 4,836,
W01001351,Blackwood 5,1693,
W01001352,Cefn Fforest 1,333,
W01001353,Cefn Fforest 2,462,
W01001354,Crosskeys 1,1219,
W01001355,Crosskeys 2,661,
W01001356,Crumlin 1,1661,
W01001357,Crumlin 2,1170,
W01001358,Crumlin 3,276,
W01001359,Crumlin 4,935,
W01001360,Darren Valley 1,785,
W01001361,Darren Valley 2,126,
W01001362,Gilfach,557,
W01001363,Hengoed (Caerphilly) 1,501,
W01001364,Hengoed (Caerphilly) 2,88,
W01001365,Hengoed (Caerphilly) 3,698,
W01001366,Llanbradach 1,974,
W01001367,Llanbradach 2,917,
W01001368,Llanbradach 3,377,
W01001369,Maesycwmmer,976,
W01001370,Morgan Jones 1,840,
W01001371,Morgan Jones 2,220,
W01001372,Morgan Jones 3,1125,
W01001373,Morgan Jones 4,949,
W01001374,Moriah 1,428,
W01001375,Moriah 2,229,
W01001376,Moriah 3,62,
W01001377,Nelson 1,1232,
W01001378,Nelson 2,473,
W01001379,Nelson 3,1431,
W01001380,Newbridge 1,1122,
W01001381,Newbridge 2,146,
W01001382,Newbridge 3,1435,
W01001383,Newbridge 4,850,
W01001384,New Tredegar 1,632,
W01001385,New Tredegar 2,245,
W01001386,New Tredegar 3,70,
W01001387,Pengam 1,353,
W01001388,Pengam 2,422,
W01001389,Pengam 3,1068,
W01001390,Penmaen 1,1711,
W01001391,Penmaen 2,885,
W01001392,Penmaen 3,1503,
W01001393,Penyrheol (Caerphilly) 1,382,
W01001394,Penyrheol (Caerphilly) 2,1842,
W01001395,Penyrheol (Caerphilly) 3,639,
W01001396,Penyrheol (Caerphilly) 4,139,
W01001397,Penyrheol (Caerphilly) 5,1182,
W01001398,Penyrheol (Caerphilly) 6,1561,
W01001399,Penyrheol (Caerphilly) 7,1282,
W01001400,Penyrheol (Caerphilly) 8,115,
W01001401,Pontllanfraith 1,588,
W01001402,Pontllanfraith 2,309,
W01001403,Pontllanfraith 3,942,
W01001404,Pontllanfraith 4,1752,
W01001405,Pontllanfraith 5,621,
W01001406,Pontlottyn,307,
W01001407,Risca East 1,1152,
W01001408,Risca East 2,426,
W01001409,Risca East 3,1320,
W01001410,Risca East 4,589,
W01001411,Risca West 1,761,
W01001412,Risca West 2,870,
W01001413,Risca West 3,613,
W01001414,St. Cattwg 1,213,
W01001415,St. Cattwg 2,616,
W01001416,St. Cattwg 3,963,
W01001417,St. Cattwg 4,1404,
W01001418,St. Cattwg 5,368,
W01001419,St. James 1,1086,
W01001420,St. James 2,1308,
W01001421,St. James 3,1,
W01001422,St. James 4,107,
W01001423,St. Martins 1,1470,
W01001424,St. Martins 2,758,
W01001425,St. Martins 3,1271,
W01001426,St. Martins 4,1753,
W01001427,St. Martins 5,1878,
W01001428,Twyn Carno 1,7,
W01001429,Twyn Carno 2,605,
W01001430,Ynysddu 1,532,
W01001431,Ynysddu 2,955,
W01001432,Ystrad Mynach 1,905,
W01001433,Ystrad Mynach 2,725,
W01001434,Ystrad Mynach 3,1549,
W01001435,Abertillery 1,457,
W01001436,Abertillery 2,344,
W01001437,Abertillery 3,798,
W01001438,Badminton 1,603,
W01001439,Badminton 2,978,
W01001440,Beaufort 1,577,
W01001441,Beaufort 2,134,
W01001442,Beaufort 3,1257,
W01001443,Blaina 1,308,
W01001444,Blaina 2,480,
W01001445,Blaina 3,606,
W01001446,Brynmawr 1,945,
W01001447,Brynmawr 2,241,
W01001448,Brynmawr 3,541,
W01001449,Brynmawr 4,530,
W01001450,Cwm 1,568,
W01001451,Cwm 2,237,
W01001452,Cwm 3,994,
W01001453,Cwmtillery 1,170,
W01001454,Cwmtillery 2,515,
W01001455,Cwmtillery 3,453,
W01001456,Ebbw Vale North 1,330,
W01001457,Ebbw Vale North 2,68,
W01001458,Ebbw Vale North 3,1034,
W01001459,Ebbw Vale South 1,76,
W01001460,Ebbw Vale South 2,556,
W01001461,Ebbw Vale South 3,555,
W01001462,Georgetown 1,630,
W01001463,Georgetown 2,1133,
W01001464,Llanhilleth 1,165,
W01001465,Llanhilleth 2,263,
W01001466,Llanhilleth 3,365,
W01001467,Nantyglo 1,221,
W01001468,Nantyglo 2,255,
W01001469,Nantyglo 3,111,
W01001470,Rassau 1,1049,
W01001471,Rassau 2,132,
W01001472,Sirhowy 1,995,
W01001473,Sirhowy 2,16,
W01001474,Sirhowy 3,375,
W01001475,Sirhowy 4,787,
W01001476,Six Bells 1,290,
W01001477,Six Bells 2,773,
W01001478,Tredegar Central and West 1,795,
W01001479,Tredegar Central and West 2,18,
W01001480,Tredegar Central and West 3,167,
W01001481,Tredegar Central and West 4,186,
W01001482,Abersychan 1,282,
W01001483,Abersychan 2,199,
W01001484,Abersychan 3,1304,
W01001485,Abersychan 4,413,
W01001486,Abersychan 5,853,
W01001487,Blaenavon 1,685,
W01001488,Blaenavon 2,196,
W01001489,Blaenavon 3,573,
W01001490,Blaenavon 4,1336,
W01001491,Brynwern,441,
W01001492,Coed Eva,1101,
W01001493,Croesyceiliog North 1,886,
W01001494,Croesyceiliog North 2,1580,
W01001495,Croesyceiliog South,1414,
W01001496,Cwmyniscoy,242,
W01001497,Fairwater (Torfaen) 1,517,
W01001498,Fairwater (Torfaen) 2,406,
W01001499,Fairwater (Torfaen) 3,1345,
W01001500,Fairwater (Torfaen) 4,1454,
W01001501,Greenmeadow 1,350,
W01001502,Greenmeadow 2,1627,
W01001503,Greenmeadow 3,257,
W01001504,Llantarnam 1,771,
W01001505,Llantarnam 2,1358,
W01001506,Llantarnam 3,273,
W01001507,Llanyrafon North,1286,
W01001508,Llanyrafon South 1,1499,
W01001509,Llanyrafon South 2,1841,
W01001510,New Inn 1,1008,
W01001511,New Inn 2,1006,
W01001512,New Inn 3,1836,
W01001513,New Inn 4,1754,
W01001514,Panteg 1,1529,
W01001515,Panteg 2,1223,
W01001516,Panteg 3,399,
W01001517,Panteg 4,1467,
W01001518,Panteg 5,1604,
W01001519,Pontnewydd 1,138,
W01001520,Pontnewydd 2,983,
W01001521,Pontnewydd 3,682,
W01001522,Pontnewydd 4,645,
W01001523,Pontnewynydd,753,
W01001524,Pontypool,641,
W01001525,St. Cadocs and Penygarn,314,
W01001526,St. Dials 1,226,
W01001527,St. Dials 2,491,
W01001528,St. Dials 3,688,
W01001529,Snatchwood,364,
W01001530,Trevethin 1,35,
W01001531,Trevethin 2,402,
W01001532,Two Locks 1,274,
W01001533,Two Locks 2,1741,
W01001534,Two Locks 3,986,
W01001535,Two Locks 4,1136,
W01001536,Upper Cwmbran 1,78,
W01001537,Upper Cwmbran 2,1523,
W01001538,Upper Cwmbran 3,243,
W01001539,Upper Cwmbran 4,526,
W01001540,Wainfelin 1,1377,
W01001541,Wainfelin 2,665,
W01001542,Caerwent,1481,
W01001543,Caldicot Castle 1,1813,
W01001545,Cantref 1,1686,
W01001546,Cantref 2,404,
W01001548,Crucorney,1217,
W01001549,Devauden,1638,
W01001551,Dewstow & Green Lane 2,810,
W01001552,Dixton with Osbaston,1861,
W01001553,Drybridge 1,1382,
W01001554,Drybridge 2,1550,
W01001555,Goetre Fawr 1,1712,
W01001556,Goetre Fawr 2,1065,
W01001557,Grofield,803,
W01001558,Lansdown,739,
W01001559,Larkfield,1449,
W01001560,Llanbadoc,1546,
W01001561,Llanelly Hill 1,1855,
W01001562,Llanelly Hill 2,914,
W01001563,Llanelly Hill 3,1463,
W01001564,Castle & Llanfoist Fawr,1042,
W01001565,Llangybi Fawr,1524,
W01001566,Llanover 1,854,
W01001567,Llanover 2,1120,
W01001568,Llantilio Crossenny,1328,
W01001569,Llanwenarth Ultra,1350,
W01001571,Mardy 2,1253,
W01001572,Mill 1,1562,
W01001573,Mill 2,1767,
W01001574,Mill 3,1757,
W01001575,Mitchel Troy,1528,
W01001576,Overmonnow 1,1230,
W01001577,Overmonnow 2,410,
W01001578,Portskewett,1675,
W01001579,Priory 1,1281,
W01001580,Priory 2,932,
W01001581,Raglan,1603,
W01001582,Rogiet,1451,
W01001583,St. Arvans,1437,
W01001584,St. Christopher's,1193,
W01001585,St. Kingsmark 1,1909,
W01001586,St. Kingsmark 2,1892,
W01001587,St. Mary's,989,
W01001588,Severn 1,1556,
W01001589,Severn 2,765,
W01001590,Shirenewton,1682,
W01001591,The Elms,1848,
W01001592,Thornwell 1,450,
W01001593,Thornwell 2,1139,
W01001594,Trellech United 1,1194,
W01001595,Trellech United 2,1616,
W01001596,Usk 1,1571,
W01001597,Usk 2,1808,
W01001598,West End,601,
W01001599,Wyesham,1087,
W01001600,Allt-yr-yn 1,1756,
W01001601,Allt-yr-yn 2,327,
W01001602,Allt-yr-yn 3,1857,
W01001603,Allt-yr-yn 4,865,
W01001604,Allt-yr-yn 5,1769,
W01001605,Allt-yr-yn 6,607,
W01001606,Alway 1,1607,
W01001607,Alway 2,36,
W01001608,Alway 3,1478,
W01001609,Alway 4,69,
W01001610,Alway 5,587,
W01001611,Alway 6,838,
W01001612,Beechwood 1,845,
W01001613,Beechwood 2,1227,
W01001614,Beechwood 3,289,
W01001615,Beechwood 4,1003,
W01001616,Beechwood 5,1508,
W01001617,Bettws (Newport) 1,77,
W01001618,Bettws (Newport) 2,222,
W01001619,Bettws (Newport) 3,118,
W01001620,Bettws (Newport) 4,281,
W01001621,Bettws (Newport) 5,159,
W01001622,Bettws (Newport) 6,642,
W01001623,Caerleon 1,1590,
W01001624,Caerleon 2,1764,
W01001625,Caerleon 3,1662,
W01001626,Caerleon 4,1391,
W01001627,Caerleon 5,1722,
