FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E08000007,2015,Rank of average rank,,93,f. Crime Domain
E07000164,2015,Rank of average rank,,318,f. Crime Domain
E07000169,2015,Rank of average rank,,275,f. Crime Domain
E07000163,2015,Rank of average rank,,299,f. Crime Domain
E07000155,2015,Rank of average rank,,306,f. Crime Domain
E08000008,2015,Rank of average rank,,51,f. Crime Domain
E08000010,2015,Rank of average rank,,124,f. Crime Domain
E07000240,2015,Rank of average rank,,283,f. Crime Domain
E07000241,2015,Rank of average rank,,220,f. Crime Domain
E07000072,2015,Rank of average rank,,199,a. Index of Multiple Deprivation (IMD)
E07000239,2015,Rank of average rank,,123,f. Crime Domain
E07000082,2015,Rank of average rank,,281,a. Index of Multiple Deprivation (IMD)
E07000165,2015,Rank of average rank,,314,f. Crime Domain
E07000171,2015,Rank of average rank,,133,f. Crime Domain
E07000173,2015,Rank of average rank,,189,f. Crime Domain
E07000076,2015,Rank of average rank,,49,a. Index of Multiple Deprivation (IMD)
E07000127,2015,Rank of average rank,,164,a. Index of Multiple Deprivation (IMD)
E07000071,2015,Rank of average rank,,185,a. Index of Multiple Deprivation (IMD)
E07000077,2015,Rank of average rank,,297,a. Index of Multiple Deprivation (IMD)
E07000126,2015,Rank of average rank,,234,a. Index of Multiple Deprivation (IMD)
E07000121,2015,Rank of average rank,,125,a. Index of Multiple Deprivation (IMD)
E07000124,2015,Rank of average rank,,290,a. Index of Multiple Deprivation (IMD)
E07000120,2015,Rank of average rank,,28,a. Index of Multiple Deprivation (IMD)
E07000172,2015,Rank of average rank,,173,f. Crime Domain
E08000009,2015,Rank of average rank,,214,f. Crime Domain
E08000006,2015,Rank of average rank,,72,f. Crime Domain
E08000004,2015,Rank of average rank,,56,f. Crime Domain
E07000095,2015,Rank of average rank,,171,a. Index of Multiple Deprivation (IMD)
E07000075,2015,Rank of average rank,,285,a. Index of Multiple Deprivation (IMD)
E08000005,2015,Rank of average rank,,27,f. Crime Domain
E07000074,2015,Rank of average rank,,204,a. Index of Multiple Deprivation (IMD)
E07000216,2015,Rank of average rank,,313,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000215,2015,Rank of average rank,,256,h. Living Environment Deprivation Domain
E07000217,2015,Rank of average rank,,287,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000179,2015,Rank of average rank,,266,h. Living Environment Deprivation Domain
E07000220,2015,Rank of average rank,,228,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000220,2015,Rank of average rank,,214,h. Living Environment Deprivation Domain
E07000221,2015,Rank of average rank,,121,h. Living Environment Deprivation Domain
E07000219,2015,Rank of average rank,,149,h. Living Environment Deprivation Domain
E07000218,2015,Rank of average rank,,179,h. Living Environment Deprivation Domain
E07000219,2015,Rank of average rank,,114,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000218,2015,Rank of average rank,,132,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000221,2015,Rank of average rank,,255,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000126,2015,Rank of average rank,,313,g. Barriers to Housing and Services Domain
E07000118,2015,Rank of average rank,,297,g. Barriers to Housing and Services Domain
E07000120,2015,Rank of average rank,,325,g. Barriers to Housing and Services Domain
E07000093,2015,Rank of average rank,,101,g. Barriers to Housing and Services Domain
E07000092,2015,Rank of average rank,,177,g. Barriers to Housing and Services Domain
E07000119,2015,Rank of average rank,,307,g. Barriers to Housing and Services Domain
E07000113,2015,Rank of average rank,,168,g. Barriers to Housing and Services Domain
E07000117,2015,Rank of average rank,,294,g. Barriers to Housing and Services Domain
E07000178,2015,Rank of average rank,,63,h. Living Environment Deprivation Domain
E07000122,2015,Rank of average rank,,318,g. Barriers to Housing and Services Domain
E07000114,2015,Rank of average rank,,207,g. Barriers to Housing and Services Domain
E07000202,2015,Rank of average rank,,258,g. Barriers to Housing and Services Domain
E07000226,2015,Rank of average rank,,39,g. Barriers to Housing and Services Domain
E07000198,2015,Rank of average rank,,178,g. Barriers to Housing and Services Domain
E07000227,2015,Rank of average rank,,47,g. Barriers to Housing and Services Domain
E07000193,2015,Rank of average rank,,275,g. Barriers to Housing and Services Domain
E07000199,2015,Rank of average rank,,163,g. Barriers to Housing and Services Domain
E07000208,2015,Rank of average rank,,202,g. Barriers to Housing and Services Domain
E07000212,2015,Rank of average rank,,53,g. Barriers to Housing and Services Domain
E07000206,2015,Rank of average rank,,256,g. Barriers to Housing and Services Domain
E07000205,2015,Rank of average rank,,193,g. Barriers to Housing and Services Domain
E07000203,2015,Rank of average rank,,59,g. Barriers to Housing and Services Domain
E07000216,2015,Rank of average rank,,307,h. Living Environment Deprivation Domain
E07000214,2015,Rank of average rank,,319,h. Living Environment Deprivation Domain
E07000243,2015,Rank of average rank,,191,g. Barriers to Housing and Services Domain
E07000198,2015,Rank of average rank,,152,h. Living Environment Deprivation Domain
E07000196,2015,Rank of average rank,,252,h. Living Environment Deprivation Domain
E07000195,2015,Rank of average rank,,216,h. Living Environment Deprivation Domain
E07000197,2015,Rank of average rank,,217,g. Barriers to Housing and Services Domain
E07000200,2015,Rank of average rank,,33,g. Barriers to Housing and Services Domain
E07000195,2015,Rank of average rank,,304,g. Barriers to Housing and Services Domain
E07000201,2015,Rank of average rank,,26,g. Barriers to Housing and Services Domain
E07000194,2015,Rank of average rank,,160,g. Barriers to Housing and Services Domain
E07000005,2015,Rank of average rank,,322,h. Living Environment Deprivation Domain
E09000030,2015,Rank of average rank,,12,h. Living Environment Deprivation Domain
E07000007,2015,Rank of average rank,,298,h. Living Environment Deprivation Domain
E07000110,2015,Rank of average rank,,83,g. Barriers to Housing and Services Domain
E07000047,2015,Rank of average rank,,194,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000031,2015,Rank of average rank,,19,h. Living Environment Deprivation Domain
E09000033,2015,Rank of average rank,,3,h. Living Environment Deprivation Domain
E07000029,2015,Rank of average rank,,126,h. Living Environment Deprivation Domain
E07000027,2015,Rank of average rank,,40,h. Living Environment Deprivation Domain
E07000026,2015,Rank of average rank,,108,h. Living Environment Deprivation Domain
E07000008,2015,Rank of average rank,,37,h. Living Environment Deprivation Domain
E07000028,2015,Rank of average rank,,127,h. Living Environment Deprivation Domain
E07000069,2015,Rank of average rank,,161,c. Employment Deprivation Domain
E07000168,2015,Rank of average rank,,92,h. Living Environment Deprivation Domain
E07000074,2015,Rank of average rank,,205,c. Employment Deprivation Domain
E07000169,2015,Rank of average rank,,212,h. Living Environment Deprivation Domain
E07000165,2015,Rank of average rank,,135,h. Living Environment Deprivation Domain
E07000163,2015,Rank of average rank,,36,h. Living Environment Deprivation Domain
E07000067,2015,Rank of average rank,,189,c. Employment Deprivation Domain
E07000065,2015,Rank of average rank,,278,c. Employment Deprivation Domain
E07000051,2015,Rank of average rank,,233,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000075,2015,Rank of average rank,,256,c. Employment Deprivation Domain
E07000076,2015,Rank of average rank,,24,c. Employment Deprivation Domain
E07000115,2015,Rank of average rank,,201,g. Barriers to Housing and Services Domain
E07000109,2015,Rank of average rank,,229,g. Barriers to Housing and Services Domain
E07000112,2015,Rank of average rank,,173,g. Barriers to Housing and Services Domain
E07000123,2015,Rank of average rank,,301,g. Barriers to Housing and Services Domain
E07000125,2015,Rank of average rank,,295,g. Barriers to Housing and Services Domain
E07000116,2015,Rank of average rank,,239,g. Barriers to Housing and Services Domain
E07000121,2015,Rank of average rank,,251,g. Barriers to Housing and Services Domain
E07000089,2015,Rank of average rank,,218,g. Barriers to Housing and Services Domain
E07000091,2015,Rank of average rank,,126,g. Barriers to Housing and Services Domain
E07000108,2015,Rank of average rank,,188,g. Barriers to Housing and Services Domain
E07000090,2015,Rank of average rank,,161,g. Barriers to Housing and Services Domain
E07000188,2015,Rank of average rank,,78,h. Living Environment Deprivation Domain
E07000033,2015,Rank of average rank,,294,h. Living Environment Deprivation Domain
E07000032,2015,Rank of average rank,,118,h. Living Environment Deprivation Domain
E07000187,2015,Rank of average rank,,155,h. Living Environment Deprivation Domain
E09000032,2015,Rank of average rank,,14,h. Living Environment Deprivation Domain
E07000190,2015,Rank of average rank,,129,h. Living Environment Deprivation Domain
E07000189,2015,Rank of average rank,,95,h. Living Environment Deprivation Domain
E07000180,2015,Rank of average rank,,295,h. Living Environment Deprivation Domain
E07000127,2015,Rank of average rank,,194,g. Barriers to Housing and Services Domain
E07000181,2015,Rank of average rank,,289,h. Living Environment Deprivation Domain
E07000006,2015,Rank of average rank,,273,h. Living Environment Deprivation Domain
E07000163,2015,Rank of average rank,,266,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000149,2015,Rank of average rank,,236,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000155,2015,Rank of average rank,,297,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000154,2015,Rank of average rank,,121,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000156,2015,Rank of average rank,,128,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000150,2015,Rank of average rank,,95,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000027,2015,Rank of average rank,,99,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000196,2015,Rank of average rank,,187,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000026,2015,Rank of average rank,,176,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000200,2015,Rank of average rank,,243,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000172,2015,Rank of average rank,,180,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000198,2015,Rank of average rank,,225,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000040,2015,Rank of average rank,,235,g. Barriers to Housing and Services Domain
E06000041,2015,Rank of average rank,,215,g. Barriers to Housing and Services Domain
E09000009,2015,Rank of average rank,,16,g. Barriers to Housing and Services Domain
E06000042,2015,Rank of average rank,,58,g. Barriers to Housing and Services Domain
E09000003,2015,Rank of average rank,,17,g. Barriers to Housing and Services Domain
E09000002,2015,Rank of average rank,,4,g. Barriers to Housing and Services Domain
E09000020,2015,Rank of average rank,,13,g. Barriers to Housing and Services Domain
E09000021,2015,Rank of average rank,,119,g. Barriers to Housing and Services Domain
E07000164,2015,Rank of average rank,,288,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000007,2015,Rank of average rank,,115,g. Barriers to Housing and Services Domain
E09000005,2015,Rank of average rank,,3,g. Barriers to Housing and Services Domain
E07000008,2015,Rank of average rank,,182,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000030,2015,Rank of average rank,,281,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000009,2015,Rank of average rank,,208,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000028,2015,Rank of average rank,,177,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000177,2015,Rank of average rank,,268,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000029,2015,Rank of average rank,,167,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000008,2015,Rank of average rank,,117,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000004,2015,Rank of average rank,,211,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000192,2015,Rank of average rank,,73,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000005,2015,Rank of average rank,,14,j. Income Deprivation Affecting Older People Index (IDAOPI)
E09000009,2015,Rank of average rank,,28,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000197,2015,Rank of average rank,,269,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000201,2015,Rank of average rank,,130,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000204,2015,Rank of average rank,,251,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000205,2015,Rank of average rank,,261,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000199,2015,Rank of average rank,,76,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000203,2015,Rank of average rank,,252,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000176,2015,Rank of average rank,,293,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000012,2015,Rank of average rank,,305,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000180,2015,Rank of average rank,,317,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000010,2015,Rank of average rank,,83,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000011,2015,Rank of average rank,,277,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000010,2015,Rank of average rank,,80,g. Barriers to Housing and Services Domain
E07000211,2015,Rank of average rank,,267,h. Living Environment Deprivation Domain
E07000008,2015,Rank of average rank,,113,g. Barriers to Housing and Services Domain
E07000217,2015,Rank of average rank,,220,h. Living Environment Deprivation Domain
E07000222,2015,Rank of average rank,,184,g. Barriers to Housing and Services Domain
E07000011,2015,Rank of average rank,,292,h. Living Environment Deprivation Domain
E07000236,2015,Rank of average rank,,31,g. Barriers to Housing and Services Domain
E07000235,2015,Rank of average rank,,46,g. Barriers to Housing and Services Domain
E07000010,2015,Rank of average rank,,154,h. Living Environment Deprivation Domain
E07000220,2015,Rank of average rank,,205,g. Barriers to Housing and Services Domain
E07000006,2015,Rank of average rank,,127,g. Barriers to Housing and Services Domain
E07000009,2015,Rank of average rank,,42,g. Barriers to Housing and Services Domain
E07000211,2015,Rank of average rank,,137,g. Barriers to Housing and Services Domain
E07000196,2015,Rank of average rank,,253,g. Barriers to Housing and Services Domain
E07000213,2015,Rank of average rank,,189,g. Barriers to Housing and Services Domain
E07000210,2015,Rank of average rank,,132,g. Barriers to Housing and Services Domain
E07000204,2015,Rank of average rank,,32,g. Barriers to Housing and Services Domain
E07000209,2015,Rank of average rank,,174,g. Barriers to Housing and Services Domain
E07000215,2015,Rank of average rank,,183,g. Barriers to Housing and Services Domain
E07000219,2015,Rank of average rank,,248,g. Barriers to Housing and Services Domain
E07000214,2015,Rank of average rank,,148,g. Barriers to Housing and Services Domain
E07000223,2015,Rank of average rank,,245,g. Barriers to Housing and Services Domain
E07000221,2015,Rank of average rank,,118,g. Barriers to Housing and Services Domain
E06000038,2015,Rank of average rank,,79,g. Barriers to Housing and Services Domain
E06000037,2015,Rank of average rank,,144,g. Barriers to Housing and Services Domain
E06000039,2015,Rank of average rank,,30,g. Barriers to Housing and Services Domain
E09000004,2015,Rank of average rank,,100,g. Barriers to Housing and Services Domain
E06000046,2015,Rank of average rank,,221,g. Barriers to Housing and Services Domain
E09000001,2015,Rank of average rank,,11,g. Barriers to Housing and Services Domain
E06000044,2015,Rank of average rank,,103,g. Barriers to Housing and Services Domain
E06000043,2015,Rank of average rank,,56,g. Barriers to Housing and Services Domain
E06000045,2015,Rank of average rank,,154,g. Barriers to Housing and Services Domain
E06000056,2015,Rank of average rank,,238,g. Barriers to Housing and Services Domain
E06000057,2015,Rank of average rank,,125,g. Barriers to Housing and Services Domain
E07000210,2015,Rank of average rank,,191,h. Living Environment Deprivation Domain
E07000209,2015,Rank of average rank,,215,h. Living Environment Deprivation Domain
E07000213,2015,Rank of average rank,,130,h. Living Environment Deprivation Domain
E07000009,2015,Rank of average rank,,235,h. Living Environment Deprivation Domain
E07000012,2015,Rank of average rank,,264,h. Living Environment Deprivation Domain
E07000207,2015,Rank of average rank,,195,h. Living Environment Deprivation Domain
E06000033,2015,Rank of average rank,,271,g. Barriers to Housing and Services Domain
E06000032,2015,Rank of average rank,,12,g. Barriers to Housing and Services Domain
E06000034,2015,Rank of average rank,,123,g. Barriers to Housing and Services Domain
E07000208,2015,Rank of average rank,,198,h. Living Environment Deprivation Domain
E07000212,2015,Rank of average rank,,146,h. Living Environment Deprivation Domain
E07000046,2015,Rank of average rank,,26,h. Living Environment Deprivation Domain
E07000064,2015,Rank of average rank,,137,h. Living Environment Deprivation Domain
E07000048,2015,Rank of average rank,,265,h. Living Environment Deprivation Domain
E07000050,2015,Rank of average rank,,183,h. Living Environment Deprivation Domain
E07000052,2015,Rank of average rank,,97,h. Living Environment Deprivation Domain
E07000065,2015,Rank of average rank,,245,h. Living Environment Deprivation Domain
E08000003,2015,Rank of average rank,,30,h. Living Environment Deprivation Domain
E08000001,2015,Rank of average rank,,102,h. Living Environment Deprivation Domain
E08000037,2015,Rank of average rank,,305,h. Living Environment Deprivation Domain
E08000002,2015,Rank of average rank,,112,h. Living Environment Deprivation Domain
E07000049,2015,Rank of average rank,,314,h. Living Environment Deprivation Domain
E08000013,2015,Rank of average rank,,128,h. Living Environment Deprivation Domain
E09000019,2015,Rank of average rank,,7,h. Living Environment Deprivation Domain
E09000021,2015,Rank of average rank,,65,h. Living Environment Deprivation Domain
E06000049,2015,Rank of average rank,,151,h. Living Environment Deprivation Domain
E06000053,2015,Rank of average rank,,1,h. Living Environment Deprivation Domain
E06000052,2015,Rank of average rank,,15,h. Living Environment Deprivation Domain
E06000050,2015,Rank of average rank,,184,h. Living Environment Deprivation Domain
E07000047,2015,Rank of average rank,,25,h. Living Environment Deprivation Domain
E07000051,2015,Rank of average rank,,211,h. Living Environment Deprivation Domain
E08000010,2015,Rank of average rank,,238,h. Living Environment Deprivation Domain
E06000051,2015,Rank of average rank,,84,h. Living Environment Deprivation Domain
E06000047,2015,Rank of average rank,,321,h. Living Environment Deprivation Domain
E07000039,2015,Rank of average rank,,208,h. Living Environment Deprivation Domain
E07000045,2015,Rank of average rank,,79,h. Living Environment Deprivation Domain
E07000044,2015,Rank of average rank,,58,h. Living Environment Deprivation Domain
E07000040,2015,Rank of average rank,,120,h. Living Environment Deprivation Domain
E07000038,2015,Rank of average rank,,288,h. Living Environment Deprivation Domain
E07000041,2015,Rank of average rank,,83,h. Living Environment Deprivation Domain
E07000061,2015,Rank of average rank,,153,h. Living Environment Deprivation Domain
E07000067,2015,Rank of average rank,,246,h. Living Environment Deprivation Domain
E07000066,2015,Rank of average rank,,304,h. Living Environment Deprivation Domain
E07000053,2015,Rank of average rank,,117,h. Living Environment Deprivation Domain
E07000063,2015,Rank of average rank,,250,h. Living Environment Deprivation Domain
E08000014,2015,Rank of average rank,,111,h. Living Environment Deprivation Domain
E08000012,2015,Rank of average rank,,23,h. Living Environment Deprivation Domain
E08000015,2015,Rank of average rank,,115,h. Living Environment Deprivation Domain
E08000011,2015,Rank of average rank,,106,h. Living Environment Deprivation Domain
E08000009,2015,Rank of average rank,,150,h. Living Environment Deprivation Domain
E08000008,2015,Rank of average rank,,104,h. Living Environment Deprivation Domain
E08000034,2015,Rank of average rank,,46,h. Living Environment Deprivation Domain
E08000032,2015,Rank of average rank,,33,h. Living Environment Deprivation Domain
E08000035,2015,Rank of average rank,,51,h. Living Environment Deprivation Domain
E07000043,2015,Rank of average rank,,71,h. Living Environment Deprivation Domain
E07000042,2015,Rank of average rank,,38,h. Living Environment Deprivation Domain
E06000025,2015,Rank of average rank,,278,h. Living Environment Deprivation Domain
E06000037,2015,Rank of average rank,,275,h. Living Environment Deprivation Domain
E06000028,2015,Rank of average rank,,59,h. Living Environment Deprivation Domain
E06000038,2015,Rank of average rank,,80,h. Living Environment Deprivation Domain
E06000029,2015,Rank of average rank,,224,h. Living Environment Deprivation Domain
E06000040,2015,Rank of average rank,,244,h. Living Environment Deprivation Domain
E06000056,2015,Rank of average rank,,287,h. Living Environment Deprivation Domain
E06000057,2015,Rank of average rank,,299,h. Living Environment Deprivation Domain
E06000034,2015,Rank of average rank,,186,h. Living Environment Deprivation Domain
E06000026,2015,Rank of average rank,,89,h. Living Environment Deprivation Domain
E06000031,2015,Rank of average rank,,175,h. Living Environment Deprivation Domain
E06000030,2015,Rank of average rank,,240,h. Living Environment Deprivation Domain
E07000226,2015,Rank of average rank,,177,c. Employment Deprivation Domain
E07000224,2015,Rank of average rank,,151,c. Employment Deprivation Domain
E07000071,2015,Rank of average rank,,183,c. Employment Deprivation Domain
E07000040,2015,Rank of average rank,,216,c. Employment Deprivation Domain
E07000044,2015,Rank of average rank,,207,c. Employment Deprivation Domain
E07000223,2015,Rank of average rank,,145,c. Employment Deprivation Domain
E07000220,2015,Rank of average rank,,234,c. Employment Deprivation Domain
E07000222,2015,Rank of average rank,,274,c. Employment Deprivation Domain
E06000039,2015,Rank of average rank,,77,h. Living Environment Deprivation Domain
E07000072,2015,Rank of average rank,,220,c. Employment Deprivation Domain
E07000073,2015,Rank of average rank,,83,c. Employment Deprivation Domain
E09000023,2015,Rank of average rank,,17,h. Living Environment Deprivation Domain
E09000022,2015,Rank of average rank,,9,h. Living Environment Deprivation Domain
E09000027,2015,Rank of average rank,,48,h. Living Environment Deprivation Domain
E09000016,2015,Rank of average rank,,228,h. Living Environment Deprivation Domain
E09000015,2015,Rank of average rank,,182,h. Living Environment Deprivation Domain
E09000028,2015,Rank of average rank,,11,h. Living Environment Deprivation Domain
E06000054,2015,Rank of average rank,,218,h. Living Environment Deprivation Domain
E06000055,2015,Rank of average rank,,164,h. Living Environment Deprivation Domain
E06000027,2015,Rank of average rank,,90,h. Living Environment Deprivation Domain
E09000029,2015,Rank of average rank,,134,h. Living Environment Deprivation Domain
E09000026,2015,Rank of average rank,,85,h. Living Environment Deprivation Domain
E06000044,2015,Rank of average rank,,10,h. Living Environment Deprivation Domain
E06000043,2015,Rank of average rank,,49,h. Living Environment Deprivation Domain
E06000033,2015,Rank of average rank,,87,h. Living Environment Deprivation Domain
E06000036,2015,Rank of average rank,,326,h. Living Environment Deprivation Domain
E06000035,2015,Rank of average rank,,142,h. Living Environment Deprivation Domain
E06000041,2015,Rank of average rank,,320,h. Living Environment Deprivation Domain
E09000017,2015,Rank of average rank,,165,h. Living Environment Deprivation Domain
E09000018,2015,Rank of average rank,,57,h. Living Environment Deprivation Domain
E09000020,2015,Rank of average rank,,2,h. Living Environment Deprivation Domain
E06000042,2015,Rank of average rank,,323,h. Living Environment Deprivation Domain
E06000032,2015,Rank of average rank,,105,h. Living Environment Deprivation Domain
E09000009,2015,Rank of average rank,,47,h. Living Environment Deprivation Domain
E07000153,2015,Rank of average rank,,205,h. Living Environment Deprivation Domain
E09000003,2015,Rank of average rank,,81,h. Living Environment Deprivation Domain
E07000154,2015,Rank of average rank,,162,h. Living Environment Deprivation Domain
E07000150,2015,Rank of average rank,,285,h. Living Environment Deprivation Domain
E09000010,2015,Rank of average rank,,72,h. Living Environment Deprivation Domain
E09000002,2015,Rank of average rank,,56,h. Living Environment Deprivation Domain
E09000024,2015,Rank of average rank,,53,h. Living Environment Deprivation Domain
E09000012,2015,Rank of average rank,,8,h. Living Environment Deprivation Domain
E09000025,2015,Rank of average rank,,21,h. Living Environment Deprivation Domain
E09000006,2015,Rank of average rank,,190,h. Living Environment Deprivation Domain
E09000004,2015,Rank of average rank,,210,h. Living Environment Deprivation Domain
E07000172,2015,Rank of average rank,,159,h. Living Environment Deprivation Domain
E06000007,2015,Rank of average rank,,139,h. Living Environment Deprivation Domain
E09000008,2015,Rank of average rank,,94,h. Living Environment Deprivation Domain
E06000009,2015,Rank of average rank,,24,h. Living Environment Deprivation Domain
E06000008,2015,Rank of average rank,,55,h. Living Environment Deprivation Domain
E07000173,2015,Rank of average rank,,196,h. Living Environment Deprivation Domain
E09000014,2015,Rank of average rank,,13,h. Living Environment Deprivation Domain
E09000013,2015,Rank of average rank,,6,h. Living Environment Deprivation Domain
E07000155,2015,Rank of average rank,,241,h. Living Environment Deprivation Domain
E09000007,2015,Rank of average rank,,4,h. Living Environment Deprivation Domain
E09000011,2015,Rank of average rank,,73,h. Living Environment Deprivation Domain
E07000167,2015,Rank of average rank,,34,h. Living Environment Deprivation Domain
E07000136,2015,Rank of average rank,,86,h. Living Environment Deprivation Domain
E07000166,2015,Rank of average rank,,219,h. Living Environment Deprivation Domain
E07000133,2015,Rank of average rank,,169,h. Living Environment Deprivation Domain
E07000145,2015,Rank of average rank,,88,h. Living Environment Deprivation Domain
E07000135,2015,Rank of average rank,,221,h. Living Environment Deprivation Domain
E07000156,2015,Rank of average rank,,236,h. Living Environment Deprivation Domain
E07000152,2015,Rank of average rank,,225,h. Living Environment Deprivation Domain
E07000164,2015,Rank of average rank,,147,h. Living Environment Deprivation Domain
E07000149,2015,Rank of average rank,,166,h. Living Environment Deprivation Domain
E07000151,2015,Rank of average rank,,204,h. Living Environment Deprivation Domain
E07000139,2015,Rank of average rank,,271,h. Living Environment Deprivation Domain
E06000046,2015,Rank of average rank,,64,h. Living Environment Deprivation Domain
E07000134,2015,Rank of average rank,,280,h. Living Environment Deprivation Domain
E09000005,2015,Rank of average rank,,43,h. Living Environment Deprivation Domain
E09000001,2015,Rank of average rank,,5,h. Living Environment Deprivation Domain
E06000045,2015,Rank of average rank,,22,h. Living Environment Deprivation Domain
E07000146,2015,Rank of average rank,,122,h. Living Environment Deprivation Domain
E07000137,2015,Rank of average rank,,70,h. Living Environment Deprivation Domain
E07000148,2015,Rank of average rank,,75,h. Living Environment Deprivation Domain
E07000138,2015,Rank of average rank,,103,h. Living Environment Deprivation Domain
E07000140,2015,Rank of average rank,,143,h. Living Environment Deprivation Domain
E06000017,2015,Rank of average rank,,207,h. Living Environment Deprivation Domain
E06000020,2015,Rank of average rank,,297,h. Living Environment Deprivation Domain
E07000144,2015,Rank of average rank,,283,h. Living Environment Deprivation Domain
E07000175,2015,Rank of average rank,,181,h. Living Environment Deprivation Domain
E06000019,2015,Rank of average rank,,50,h. Living Environment Deprivation Domain
E06000018,2015,Rank of average rank,,35,h. Living Environment Deprivation Domain
E07000142,2015,Rank of average rank,,158,h. Living Environment Deprivation Domain
E07000141,2015,Rank of average rank,,200,h. Living Environment Deprivation Domain
E06000011,2015,Rank of average rank,,197,h. Living Environment Deprivation Domain
E07000143,2015,Rank of average rank,,193,h. Living Environment Deprivation Domain
E07000147,2015,Rank of average rank,,69,h. Living Environment Deprivation Domain
E08000036,2015,Rank of average rank,,199,h. Living Environment Deprivation Domain
E07000062,2015,Rank of average rank,,96,h. Living Environment Deprivation Domain
E07000035,2015,Rank of average rank,,68,h. Living Environment Deprivation Domain
E08000033,2015,Rank of average rank,,32,h. Living Environment Deprivation Domain
E07000037,2015,Rank of average rank,,93,h. Living Environment Deprivation Domain
E07000036,2015,Rank of average rank,,67,h. Living Environment Deprivation Domain
E06000021,2015,Rank of average rank,,98,h. Living Environment Deprivation Domain
E06000012,2015,Rank of average rank,,82,h. Living Environment Deprivation Domain
E06000022,2015,Rank of average rank,,202,h. Living Environment Deprivation Domain
E06000024,2015,Rank of average rank,,272,h. Living Environment Deprivation Domain
E06000023,2015,Rank of average rank,,41,h. Living Environment Deprivation Domain
E07000086,2015,Rank of average rank,,281,c. Employment Deprivation Domain
E07000066,2015,Rank of average rank,,115,c. Employment Deprivation Domain
E07000171,2015,Rank of average rank,,177,h. Living Environment Deprivation Domain
E07000070,2015,Rank of average rank,,248,c. Employment Deprivation Domain
E07000221,2015,Rank of average rank,,287,c. Employment Deprivation Domain
E07000068,2015,Rank of average rank,,272,c. Employment Deprivation Domain
E06000001,2015,Rank of average rank,,309,h. Living Environment Deprivation Domain
E07000004,2015,Rank of average rank,,291,h. Living Environment Deprivation Domain
E06000006,2015,Rank of average rank,,136,h. Living Environment Deprivation Domain
E07000170,2015,Rank of average rank,,185,h. Living Environment Deprivation Domain
E07000174,2015,Rank of average rank,,217,h. Living Environment Deprivation Domain
E06000016,2015,Rank of average rank,,31,h. Living Environment Deprivation Domain
E06000015,2015,Rank of average rank,,60,h. Living Environment Deprivation Domain
E06000004,2015,Rank of average rank,,315,h. Living Environment Deprivation Domain
E06000010,2015,Rank of average rank,,29,h. Living Environment Deprivation Domain
E06000013,2015,Rank of average rank,,209,h. Living Environment Deprivation Domain
E06000014,2015,Rank of average rank,,140,h. Living Environment Deprivation Domain
E06000002,2015,Rank of average rank,,258,h. Living Environment Deprivation Domain
